PC_CODE,COMMODITY,STATE,Country,UNIT,Quantity,Trade_Value_USD,,,
A1,TEA,KERALA,MAURITIUS,KGS,7328,131675,,,
A1,TEA,KERALA,MEXICO,KGS,2240,14036,,,
A1,TEA,KERALA,NETHERLAND,KGS,666865,1924449,,,
A1,TEA,KERALA,NEW ZEALAND,KGS,38972,138721,,,
A1,TEA,KERALA,OMAN,KGS,218928,1351746,,,
A1,TEA,KERALA,PHILIPPINES,KGS,30000,327294,,,
A1,TEA,KERALA,POLAND,KGS,1089608,3371595,,,
A1,TEA,KERALA,QATAR,KGS,1520885,6275364,,,
A1,TEA,KERALA,RUSSIA,KGS,1877149,4021727,,,
A1,TEA,KERALA,SAUDI ARAB,KGS,4315523,19113493,,,
A1,TEA,KERALA,SEYCHELLES,KGS,1119,2804,,,
A1,TEA,KERALA,SINGAPORE,KGS,28227,264839,,,
A1,TEA,KERALA,SLOVENIA,KGS,4800,62388,,,
A1,TEA,KERALA,SOUTH AFRICA,KGS,6840,20067,,,
A1,TEA,KERALA,SPAIN,KGS,223475,379609,,,
A1,TEA,KERALA,SRI LANKA DSR,KGS,543118,1165443,,,
A1,TEA,KERALA,SWITZERLAND,KGS,35742,198065,,,
A1,TEA,KERALA,TAIWAN,KGS,29000,296291,,,
A1,TEA,KERALA,THAILAND,KGS,32570,571719,,,
A1,TEA,KERALA,U ARAB EMTS,KGS,3400621,11383336,,,
A1,TEA,KERALA,U K,KGS,492420,2190362,,,
A1,TEA,KERALA,U S A,KGS,9721671,35592225,,,
A1,TEA,KERALA,UGANDA,KGS,500,6387,,,
A1,TEA,KERALA,VENEZUELA,KGS,90000,1084160,,,
A1,TEA,KERALA,VIETNAM SOC REP,KGS,2,96,,,
A1,TEA,MADHYA PRADESH,AUSTRALIA,KGS,2490,14891,,,
A1,TEA,MADHYA PRADESH,BURKINA FASO,KGS,622,2746,,,
A1,TEA,MADHYA PRADESH,CAMEROON,KGS,524,6528,,,
A1,TEA,MADHYA PRADESH,CANADA,KGS,8388,27854,,,
A1,TEA,MADHYA PRADESH,CHINA P RP,KGS,8000,57976,,,
A1,TEA,MADHYA PRADESH,COSTA RICA,KGS,450,4032,,,
A1,TEA,MADHYA PRADESH,GHANA,KGS,136,627,,,
A1,TEA,MADHYA PRADESH,GUINEA,KGS,144,1169,,,
A1,TEA,MADHYA PRADESH,HONG KONG,KGS,7582,26121,,,
A1,TEA,MADHYA PRADESH,ITALY,KGS,2928,7713,,,
A1,TEA,MADHYA PRADESH,NETHERLAND,KGS,4,168,,,
A1,TEA,MADHYA PRADESH,NEW ZEALAND,KGS,134,1186,,,
A1,TEA,MADHYA PRADESH,SENEGAL,KGS,168,1218,,,
A1,TEA,MADHYA PRADESH,SIERRA LEONE,KGS,5,218,,,
A1,TEA,MADHYA PRADESH,TOGO,KGS,180,1279,,,
A1,TEA,MADHYA PRADESH,U ARAB EMTS,KGS,150,1756,,,
